selector,sel_given_coverage,rate,ci_lo,ci_hi,end_to_end,e2e_rate,n_pathological
frozen state-NN similarity,24/31,0.7742,0.589,0.9041,24/50,0.48,3
frozen argmin Critic C,21/31,0.6774,0.4863,0.8332,21/50,0.42,8
