model_seed,reset_seed,time,segment_selected,reference_rectangle,current_x,current_y,old_x,old_y,new_x,new_y,xy_change
0,51000049,2,False,2,1.6405485,3.4270115,1.5538576,2.842342,1.5538576,2.842342,0.0
0,51000050,1,True,0,1.4276161,3.4958131,2.3527658,3.4363453,2.393219,3.3813772,0.06824921319571367
0,51000053,1,True,0,1.4998857,3.516757,2.4495084,3.8012362,2.4998856,3.7236702,0.0924895963292366
0,51000054,1,True,0,1.5,3.7477648,1.522419,3.850969,1.4618077,3.7468793,0.12045080623234385
0,51000054,2,True,0,1.522419,3.8509693,2.3593926,3.3847475,2.391066,3.3361166,0.05803598737056061
0,51000055,1,True,0,1.4890028,3.5801976,2.333014,3.5741274,2.3830414,3.5167022,0.07616034626336568
0,51000056,1,True,0,1.4924054,3.5330064,2.430944,3.6618907,2.4891272,3.6005855,0.08451994959404097
0,51000057,1,True,0,1.4567803,3.589327,2.2389226,3.8503244,2.2618628,3.7709765,0.08259740923061072
0,51000058,1,False,2,1.4269751,3.3512785,1.477404,2.5569983,1.477404,2.5569983,0.0
0,51000059,1,True,0,1.4503735,3.4949095,2.2669444,3.705442,2.2962587,3.6344278,0.07682667987941125
0,51000061,1,True,0,1.4545738,3.7251544,2.2144792,3.6178908,2.2570775,3.5681837,0.06546307256360567
0,51000062,1,True,0,1.3746333,3.5108097,2.1204448,3.7662914,2.1263213,3.696947,0.06959283873128815
0,51000062,3,True,0,1.5728129,3.6046736,2.2286425,3.6816366,2.2718027,3.5953135,0.09651148712440653
0,51000063,1,True,0,1.4987751,3.4526937,2.4570038,3.9266956,2.498775,3.8339837,0.10168742333641803
0,51000065,1,True,0,1.3382922,3.4787817,2.307863,3.6818342,2.3382921,3.6271741,0.06255922144148472
0,51000066,1,True,0,1.5,3.6844351,2.4113162,3.5171244,2.45786,3.4578757,0.07534411389246816
0,51000067,1,True,0,1.4993573,3.5195687,2.433364,3.5122025,2.4804733,3.4486225,0.0791309883224079
0,51000070,1,True,0,1.4364316,3.5566833,2.3733895,3.384106,2.4070745,3.3297534,0.06394430208819867
