population,dim,p_exact_boundary,p_ge_0.99,p_ge_0.95,mean,std
real,0,0.03759765625,0.45703125,0.611083984375,-0.07865648716688156,0.8786351084709167
real,1,0.0166015625,0.4954833984375,0.6319580078125,-0.5008517503738403,0.7391964793205261
real,2,0.103271484375,0.5087890625,0.6290283203125,-0.16521377861499786,0.8698468208312988
real,3,0.0897216796875,0.64892578125,0.75927734375,-0.5640692114830017,0.7445151805877686
real,4,0.0987548828125,0.4798583984375,0.5880126953125,-0.043420594185590744,0.8756251335144043
real,5,0.0218505859375,0.4805908203125,0.6273193359375,0.41311994194984436,0.7775763273239136
real,6,0.0538330078125,0.458984375,0.5699462890625,0.016072507947683334,0.8660929799079895
real,7,0.033203125,0.4989013671875,0.6307373046875,0.5046011209487915,0.7357904314994812
crl_sample,0,0.03662109375,0.4310302734375,0.5758056640625,-0.13538606464862823,0.8581792116165161
crl_sample,1,0.0157470703125,0.46923828125,0.618896484375,-0.49350178241729736,0.7428054213523865
crl_sample,2,0.0667724609375,0.4871826171875,0.6134033203125,-0.17840087413787842,0.8677152395248413
crl_sample,3,0.0667724609375,0.6676025390625,0.767822265625,-0.5762743949890137,0.7399798631668091
crl_sample,4,0.0697021484375,0.5009765625,0.62353515625,0.030443595722317696,0.8877258896827698
crl_sample,5,0.024169921875,0.462646484375,0.5765380859375,0.48099440336227417,0.7189939022064209
crl_sample,6,0.04345703125,0.4610595703125,0.5902099609375,0.07322850078344345,0.8713445663452148
crl_sample,7,0.0286865234375,0.4910888671875,0.6207275390625,0.4905494749546051,0.7396886944770813
crl_mode,0,0.0291748046875,0.4290771484375,0.5692138671875,-0.13054914772510529,0.8617487549781799
crl_mode,1,0.0107421875,0.4710693359375,0.6107177734375,-0.5010727643966675,0.7405573725700378
crl_mode,2,0.0556640625,0.4871826171875,0.6134033203125,-0.18001773953437805,0.8690908551216125
crl_mode,3,0.05419921875,0.671142578125,0.77685546875,-0.5822351574897766,0.7388392686843872
crl_mode,4,0.0618896484375,0.5028076171875,0.62548828125,0.03377814218401909,0.8904041051864624
crl_mode,5,0.0166015625,0.4686279296875,0.582763671875,0.48297664523124695,0.7185437083244324
crl_mode,6,0.03564453125,0.4605712890625,0.5916748046875,0.07404854148626328,0.8704140782356262
crl_mode,7,0.0201416015625,0.4913330078125,0.62744140625,0.5024502277374268,0.7338308095932007
crl_sample_relabeled_goal_SENSITIVITY,0,0.125732421875,0.525390625,0.66259765625,0.1479477882385254,0.8888829946517944
crl_sample_relabeled_goal_SENSITIVITY,1,0.0511474609375,0.48486328125,0.634033203125,-0.41575998067855835,0.7922810316085815
crl_sample_relabeled_goal_SENSITIVITY,2,0.1273193359375,0.549560546875,0.6666259765625,-0.27941030263900757,0.8532347679138184
crl_sample_relabeled_goal_SENSITIVITY,3,0.0843505859375,0.6356201171875,0.7442626953125,-0.531119167804718,0.7629319429397583
crl_sample_relabeled_goal_SENSITIVITY,4,0.0738525390625,0.4754638671875,0.5987548828125,-0.04642920941114426,0.87705397605896
crl_sample_relabeled_goal_SENSITIVITY,5,0.087890625,0.50244140625,0.6204833984375,0.5089649558067322,0.7221736311912537
crl_sample_relabeled_goal_SENSITIVITY,6,0.037353515625,0.4337158203125,0.568115234375,0.024285048246383667,0.8666430115699768
crl_sample_relabeled_goal_SENSITIVITY,7,0.0955810546875,0.5267333984375,0.645751953125,0.336562842130661,0.8313642740249634
flow_50k,0,0.104248046875,0.155029296875,0.381591796875,-0.06559456139802933,0.8229561448097229
flow_50k,1,0.31103515625,0.3779296875,0.5594482421875,-0.5482681393623352,0.6835095882415771
flow_50k,2,0.09814453125,0.163818359375,0.440185546875,-0.20026104152202606,0.8227975368499756
flow_50k,3,0.228515625,0.34228515625,0.6417236328125,-0.6046736836433411,0.6690033078193665
flow_50k,4,0.0703125,0.1209716796875,0.37890625,0.022331198677420616,0.8218861818313599
flow_50k,5,0.068115234375,0.11083984375,0.3858642578125,0.4197668135166168,0.701513409614563
flow_50k,6,0.1793212890625,0.2396240234375,0.4239501953125,0.050059184432029724,0.8091952204704285
flow_50k,7,0.078857421875,0.1221923828125,0.398193359375,0.5103750228881836,0.6801037192344666
flow_150k,0,0.150146484375,0.2083740234375,0.4556884765625,-0.08139745146036148,0.8462156653404236
flow_150k,1,0.1395263671875,0.214599609375,0.5054931640625,-0.5200048685073853,0.696010410785675
flow_150k,2,0.215087890625,0.3072509765625,0.55712890625,-0.18688972294330597,0.8450915813446045
flow_150k,3,0.1446533203125,0.2772216796875,0.674072265625,-0.5976405739784241,0.6867001056671143
flow_150k,4,0.208740234375,0.2857666015625,0.499755859375,0.012039334513247013,0.8463367223739624
flow_150k,5,0.167724609375,0.25830078125,0.508544921875,0.4564877152442932,0.7154504656791687
flow_150k,6,0.1226806640625,0.18798828125,0.411865234375,0.014799343422055244,0.8191326260566711
flow_150k,7,0.211181640625,0.3031005859375,0.54443359375,0.5281534194946289,0.7093437910079956
