model_seed,reset_seed,time,action_distance,rectangle,current_class_min_y,endpoint_ball_min_y,all_maps_min_y,corner_distance,upper_rectangle,vertical_contains_anchor,anchor_down,correction_down,proposal_down,emitted_down,proposal_enters_descent,emitted_enters_descent,clipping_raises_y,clipping_blocks_entry,proposal_wrong_x,current_class_can_move_down,current_class_can_enter,endpoint_ball_can_enter,full_map_can_enter,fixed_vertical_matrix_enters,fixed_vertical_matrix_moves_down
0,51000001,1,1.1984959547138934,0,3.0,2.545813798904419,2.545813798904419,0.5370805697550676,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000002,1,1.7113700828704415,0,3.0,2.3243863582611084,2.3243863582611084,0.8934459094186104,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000004,1,1.0003532946364648,0,3.0,2.5145623683929443,2.5145623683929443,0.5025842189788818,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000004,2,1.4633795073538298,0,3.0,2.5835959911346436,2.5835959911346436,0.8261821149399252,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000005,1,1.2994681037765208,0,3.0,2.311246633529663,2.311246633529663,0.43877024735492326,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000006,1,1.3574290265096232,0,3.0,2.5466232299804688,2.5466232299804688,0.6916741989030851,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000007,1,1.0973692788326073,0,3.0,2.6358587741851807,2.6358587741851807,0.47167419915420494,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000008,1,1.477741056705923,0,3.0,2.4606335163116455,2.4606335163116455,0.7484514935615446,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000009,1,1.3192448527808702,0,3.0,2.6211647987365723,2.6211647987365723,0.7028800647851178,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000011,2,1.6463560104265282,0,3.0,2.324591875076294,2.324591875076294,0.8377234401801954,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000012,1,1.4855886530756472,0,3.0,2.407606601715088,2.407606601715088,0.7257857767248087,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000014,1,1.3803283920681186,0,3.0,2.654362916946411,2.654362916946411,0.8121665024784522,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000015,2,1.4286131772243367,0,3.0,2.435304880142212,2.435304880142212,0.7071393127732608,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000016,1,1.2965909451428799,0,3.0,2.3980605602264404,2.3980605602264404,0.5219807088549276,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000017,1,1.3912155671658528,0,3.0,2.7227795124053955,2.7227795124053955,0.8527446275851108,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000018,1,1.6608473058757465,0,3.0,2.275477409362793,2.275477409362793,0.7755536021013962,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000019,1,1.1981203816451806,0,3.0,2.6582658290863037,2.6582658290863037,0.5965945156570953,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000020,1,1.2627163489267301,0,3.0,2.6284875869750977,2.6284875869750977,0.6880946202384061,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000021,1,1.4584951408480515,0,3.0,2.592255115509033,2.592255115509033,0.8387595507755012,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000022,1,1.2533172203711844,0,3.0,2.749347686767578,2.749347686767578,0.7013719725496576,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000023,1,1.7150238816274375,0,3.0,2.4681477546691895,2.4681477546691895,1.036789605348321,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000023,10,1.2330390318746087,0,3.0,2.822577476501465,2.822577476501465,0.7676217669931905,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True
0,51000024,1,1.292847198576449,0,3.0,2.6432530879974365,2.6432530879974365,0.6943858749475497,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000025,1,1.322302619643735,0,3.0,2.561339855194092,2.561339855194092,0.6837194595099273,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000026,1,1.4365264099582624,0,3.0,2.4313347339630127,2.4313347339630127,0.6752647598797726,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000027,1,1.6686016108730404,0,3.0,2.4138758182525635,2.4138758182525635,0.9232560061070134,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000028,1,1.7394752045436177,0,3.0,2.3180835247039795,2.3180835247039795,0.8864702550807172,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000029,1,1.2124425990106193,0,3.0,2.7109572887420654,2.7109572887420654,0.6361206781611799,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000030,1,1.1791269197565717,0,3.0,2.6978976726531982,2.6978976726531982,0.6660566840824507,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000030,6,1.5516780335435703,0,3.0,2.6045775413513184,2.6045775413513184,0.6045775413513184,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000030,7,1.053313045832755,0,3.0,2.636319875717163,2.636319875717163,0.6259360313415527,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,True
0,51000030,8,1.6372060484910649,0,3.0,2.703000783920288,2.703000783920288,1.0749839426764793,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,True
0,51000030,10,1.4220115822099337,0,3.0,2.9196815490722656,2.9196815490722656,0.9661242414924046,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True
0,51000031,1,1.355780550012563,0,3.0,2.602421522140503,2.602421522140503,0.7228991070569182,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000033,1,1.3680346310342468,0,3.0,2.5057220458984375,2.5057220458984375,0.7184261051253023,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000034,2,1.6013568412372525,0,3.0,2.575378179550171,2.575378179550171,0.9583307006881282,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True
0,51000035,1,1.2643328309629778,0,3.0,2.648050546646118,2.648050546646118,0.6423380477934804,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000036,1,1.4869795061302442,0,3.0,2.444920301437378,2.444920301437378,0.7422591482617791,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000037,1,1.2757084456132988,0,3.0,2.637523651123047,2.637523651123047,0.7127074447869367,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000038,1,1.3611277929561072,0,3.0,2.4574010372161865,2.4574010372161865,0.6399819383657446,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000039,1,1.4742974615448674,0,3.0,2.4540185928344727,2.4540185928344727,0.7510158567794195,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000041,1,1.3866930525120553,0,3.0,2.560023069381714,2.560023069381714,0.7240032376015209,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000042,1,1.0221257268499178,0,3.0,2.678602457046509,2.678602457046509,0.5982887744903564,True,True,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000042,2,1.5887606179238773,0,3.0,2.672146797180176,2.672146797180176,0.9951933742112039,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True
0,51000043,1,1.3716817740432123,0,3.0,2.7223377227783203,2.7223377227783203,0.8374629000066958,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000044,1,1.4256747410546788,0,3.0,2.566166400909424,2.566166400909424,0.7720058250960243,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000045,1,1.3469333991407946,0,3.0,2.4517664909362793,2.4517664909362793,0.6161993710722917,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000047,1,1.1999315593347444,0,3.0,2.5473392009735107,2.5473392009735107,0.571338654775229,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True
