environment,reset_seed,lower_minus_shortcut
native,51000000,-2.0968496180078127
native,51000001,11.066088688957908
native,51000002,-2.0968496180078127
native,51000003,11.066088688957908
native,51000004,-2.0968496180078127
native,51000005,11.066088688957908
native,51000006,11.066088688957908
native,51000007,11.066088688957908
native,51000008,11.066088688957908
native,51000009,11.066088688957908
native,51000010,-2.0968496180078127
native,51000011,11.066088688957908
native,51000012,11.066088688957908
native,51000013,-2.0968496180078127
native,51000014,-2.0968496180078127
native,51000015,11.066088688957908
native,51000016,11.066088688957908
native,51000017,11.066088688957908
native,51000018,11.066088688957908
native,51000019,-2.0968496180078127
native,51000020,11.066088688957908
native,51000021,11.066088688957908
native,51000022,11.066088688957908
native,51000023,11.066088688957908
native,51000024,-2.0968496180078127
native,51000025,-2.0968496180078127
native,51000026,11.066088688957908
native,51000027,-2.0968496180078127
native,51000028,11.066088688957908
native,51000029,11.066088688957908
native,51000030,11.066088688957908
native,51000031,11.066088688957908
native,51000032,-2.0968496180078127
native,51000033,11.066088688957908
native,51000034,11.066088688957908
native,51000035,11.066088688957908
native,51000036,11.066088688957908
native,51000037,11.066088688957908
native,51000038,-2.0968496180078127
native,51000039,11.066088688957908
native,51000040,-2.0968496180078127
native,51000041,11.066088688957908
native,51000042,-2.0968496180078127
native,51000043,-2.0968496180078127
native,51000044,11.066088688957908
native,51000045,-2.0968496180078127
native,51000046,-2.0968496180078127
native,51000047,11.066088688957908
native,51000048,11.066088688957908
native,51000049,-2.0968496180078127
native,51000050,11.066088688957908
native,51000051,-2.0968496180078127
native,51000052,11.066088688957908
native,51000053,11.066088688957908
native,51000054,11.066088688957908
native,51000055,11.066088688957908
native,51000056,-2.0968496180078127
native,51000057,-2.0968496180078127
native,51000058,-2.0968496180078127
native,51000059,-2.0968496180078127
native,51000060,11.066088688957908
native,51000061,11.066088688957908
native,51000062,11.066088688957908
native,51000063,-2.0968496180078127
native,51000064,11.066088688957908
native,51000065,-2.0968496180078127
native,51000066,-2.0968496180078127
native,51000067,-2.0968496180078127
native,51000068,11.066088688957908
native,51000069,11.066088688957908
native,51000070,11.066088688957908
native,51000071,11.066088688957908
native,51000072,11.066088688957908
native,51000073,-2.0968496180078127
native,51000074,11.066088688957908
native,51000075,11.066088688957908
native,51000076,11.066088688957908
native,51000077,11.066088688957908
native,51000078,-2.0968496180078127
native,51000079,11.066088688957908
native,51000080,11.066088688957908
native,51000081,-2.0968496180078127
native,51000082,-2.0968496180078127
native,51000083,11.066088688957908
native,51000084,11.066088688957908
native,51000085,11.066088688957908
native,51000086,11.066088688957908
native,51000087,11.066088688957908
native,51000088,-2.0968496180078127
native,51000089,11.066088688957908
native,51000090,11.066088688957908
native,51000091,11.066088688957908
native,51000092,-2.0968496180078127
native,51000093,-2.0968496180078127
native,51000094,11.066088688957908
native,51000095,11.066088688957908
native,51000096,-2.0968496180078127
native,51000097,11.066088688957908
native,51000098,11.066088688957908
native,51000099,11.066088688957908
native,51000100,11.066088688957908
native,51000101,11.066088688957908
native,51000102,-2.0968496180078127
native,51000103,-2.0968496180078127
native,51000104,-2.0968496180078127
native,51000105,11.066088688957908
native,51000106,11.066088688957908
native,51000107,11.066088688957908
native,51000108,11.066088688957908
native,51000109,11.066088688957908
native,51000110,-2.0968496180078127
native,51000111,11.066088688957908
native,51000112,11.066088688957908
native,51000113,11.066088688957908
native,51000114,11.066088688957908
native,51000115,11.066088688957908
native,51000116,11.066088688957908
native,51000117,-2.0968496180078127
native,51000118,11.066088688957908
native,51000119,11.066088688957908
native,51000120,11.066088688957908
native,51000121,11.066088688957908
native,51000122,11.066088688957908
native,51000123,11.066088688957908
native,51000124,11.066088688957908
native,51000125,11.066088688957908
native,51000126,-2.0968496180078127
native,51000127,11.066088688957908
model_s0,51000000,0.0
model_s0,51000001,-0.6983372960937508
model_s0,51000002,-1.9575927889416755
model_s0,51000003,0.0
model_s0,51000004,4.33653085377855
model_s0,51000005,-0.6983372960937508
model_s0,51000006,-12.42784641634072
model_s0,51000007,-0.7350918906250001
model_s0,51000008,8.805758714227123
model_s0,51000009,-0.7350918906250001
model_s0,51000010,0.0
model_s0,51000011,-11.13417657532705
model_s0,51000012,-0.6634204312890617
model_s0,51000013,0.0
model_s0,51000014,-11.72950912024697
model_s0,51000015,-0.6634204312890617
model_s0,51000016,-12.42784641634072
model_s0,51000017,-0.6634204312890617
model_s0,51000018,-10.620348940307874
model_s0,51000019,-11.066088688957908
model_s0,51000020,-0.7350918906250001
model_s0,51000021,-1.9920071371074215
model_s0,51000022,-0.6983372960937508
model_s0,51000023,-0.9034178988115178
model_s0,51000024,-1.7141331943675358
model_s0,51000025,-12.42784641634072
model_s0,51000026,-0.7350918906250001
model_s0,51000027,-0.7350918906250001
model_s0,51000028,-0.7350918906250001
model_s0,51000029,-0.7350918906250001
model_s0,51000030,-0.4632912301597525
model_s0,51000031,-0.7350918906250001
model_s0,51000032,0.0
model_s0,51000033,-0.7350918906250001
model_s0,51000034,0.0
model_s0,51000035,-11.72950912024697
model_s0,51000036,-0.7350918906250001
model_s0,51000037,-0.6634204312890617
model_s0,51000038,-1.9920071371074215
model_s0,51000039,-0.6983372960937508
model_s0,51000040,0.0
model_s0,51000041,-12.42784641634072
model_s0,51000042,-0.6983372960937508
model_s0,51000043,-12.323172461617466
model_s0,51000044,-0.5403600876626378
model_s0,51000045,-0.9028314692026955
model_s0,51000046,0.0
model_s0,51000047,-9.946740946029092
model_s0,51000048,-6.4053868636300955
model_s0,51000049,0.0
model_s0,51000050,-7.263633867501038
model_s0,51000051,0.0
model_s0,51000052,0.0
model_s0,51000053,-0.7350918906250001
model_s0,51000054,-2.7905343455994993
model_s0,51000055,0.0
model_s0,51000056,-0.6983372960937508
model_s0,51000057,-1.3617577273828125
model_s0,51000058,-1.1675370315148363
model_s0,51000059,-0.7350918906250001
model_s0,51000060,0.0
model_s0,51000061,-0.7350918906250001
model_s0,51000062,-0.6634204312890617
model_s0,51000063,-0.6634204312890617
model_s0,51000064,0.0
model_s0,51000065,-0.7350918906250001
model_s0,51000066,-0.6983372960937508
model_s0,51000067,-0.6634204312890617
model_s0,51000068,0.0
model_s0,51000069,0.0
model_s0,51000070,-4.931771393939913
model_s0,51000071,0.0
model_s0,51000072,-0.6634204312890617
model_s0,51000073,-0.4632912301597525
model_s0,51000074,0.0
model_s0,51000075,0.0
model_s0,51000076,-0.39721431845821886
model_s0,51000077,-5.272333020228028
model_s0,51000078,-12.42784641634072
model_s0,51000079,-0.630249409724609
model_s0,51000080,-0.7350918906250001
model_s0,51000081,0.0
model_s0,51000082,-0.7350918906250001
model_s0,51000083,0.0
model_s0,51000084,-2.06367859644336
model_s0,51000085,-0.7350918906250001
model_s0,51000086,-1.2289863489629873
model_s0,51000087,-0.6983372960937508
model_s0,51000088,-12.42784641634072
model_s0,51000089,0.0
model_s0,51000090,-8.214600076776321
model_s0,51000091,-11.066088688957908
model_s0,51000092,-11.801180579582908
model_s0,51000093,-0.6983372960937508
model_s0,51000094,-0.6634204312890617
model_s0,51000095,-0.630249409724609
model_s0,51000096,-0.6634204312890617
model_s0,51000097,-0.7350918906250001
model_s0,51000098,-0.7807449204658475
model_s0,51000099,-0.7350918906250001
model_s0,51000100,-0.7350918906250001
model_s0,51000101,-1.4643082925547874
model_s0,51000102,-0.7350918906250001
model_s0,51000103,0.0
model_s0,51000104,0.0
model_s0,51000105,-0.7350918906250001
model_s0,51000106,-1.3617577273828125
model_s0,51000107,0.0
model_s0,51000108,-8.214600076776321
model_s0,51000109,-0.6983372960937508
model_s0,51000110,-0.6983372960937508
model_s0,51000111,-12.42784641634072
model_s0,51000112,-1.7977864412394453
model_s0,51000113,-1.7977864412394453
model_s0,51000114,-12.49817560779988
model_s0,51000115,0.0
model_s0,51000116,-0.7350918906250001
model_s0,51000117,-0.7350918906250001
model_s0,51000118,-1.9920071371074215
model_s0,51000119,-0.6983372960937508
model_s0,51000120,0.0
model_s0,51000121,-0.7350918906250001
model_s0,51000122,-0.5853411644624729
model_s0,51000123,-0.7350918906250001
model_s0,51000124,0.0
model_s0,51000125,-0.6983372960937508
model_s0,51000126,-0.7350918906250001
model_s0,51000127,-0.21463876394293724
model_s1,51000000,0.0
model_s1,51000001,0.0
model_s1,51000002,-7.263633867501038
model_s1,51000003,0.0
model_s1,51000004,4.905330946055008
model_s1,51000005,0.0
model_s1,51000006,6.022459552710625
model_s1,51000007,0.0
model_s1,51000008,-3.612332080384027
model_s1,51000009,0.0
model_s1,51000010,0.0
model_s1,51000011,0.0
model_s1,51000012,0.6634204312890617
model_s1,51000013,0.0
model_s1,51000014,9.394178936611217
model_s1,51000015,0.0
model_s1,51000016,0.0
model_s1,51000017,0.6983372960937508
model_s1,51000018,0.6983372960937508
model_s1,51000019,10.28534376849206
model_s1,51000020,0.0
model_s1,51000021,0.6983372960937508
model_s1,51000022,0.0
model_s1,51000023,0.0
model_s1,51000024,-9.268302247718463
model_s1,51000025,3.6999042562848956
model_s1,51000026,0.0
model_s1,51000027,0.0
model_s1,51000028,0.0
model_s1,51000029,0.0
model_s1,51000030,0.8582470038709422
model_s1,51000031,0.0
model_s1,51000032,0.0
model_s1,51000033,-1.433429186718751
model_s1,51000034,0.0
model_s1,51000035,1.433429186718751
model_s1,51000036,0.0
model_s1,51000037,1.3617577273828125
model_s1,51000038,0.0
model_s1,51000039,0.7350918906250001
model_s1,51000040,0.0
model_s1,51000041,1.3617577273828125
model_s1,51000042,0.7350918906250001
model_s1,51000043,0.0
model_s1,51000044,-3.4556091398277973
model_s1,51000045,-1.3090153213932292
model_s1,51000046,0.0
model_s1,51000047,11.72950912024697
model_s1,51000048,0.0
model_s1,51000049,0.0
model_s1,51000050,-4.608237848966204
model_s1,51000051,0.0
model_s1,51000052,0.0
model_s1,51000053,0.0
model_s1,51000054,0.0
model_s1,51000055,-8.554700457999516
model_s1,51000056,0.7350918906250001
model_s1,51000057,0.6983372960937508
model_s1,51000058,0.0
model_s1,51000059,0.0
model_s1,51000060,0.0
model_s1,51000061,0.0
model_s1,51000062,0.6634204312890617
model_s1,51000063,0.6983372960937508
model_s1,51000064,0.0
model_s1,51000065,0.0
model_s1,51000066,0.0
model_s1,51000067,1.892406780252049
model_s1,51000068,0.0
model_s1,51000069,0.0
model_s1,51000070,-7.0143310666169825
model_s1,51000071,0.0
model_s1,51000072,0.6983372960937508
model_s1,51000073,0.0
model_s1,51000074,0.0
model_s1,51000075,0.0
model_s1,51000076,-6.4053868636300955
model_s1,51000077,5.899304439464683
model_s1,51000078,6.022459552710625
model_s1,51000079,0.0
model_s1,51000080,0.0
model_s1,51000081,0.0
model_s1,51000082,0.0
model_s1,51000083,0.0
model_s1,51000084,0.0
model_s1,51000085,0.0
model_s1,51000086,0.0
model_s1,51000087,0.6983372960937508
model_s1,51000088,0.6983372960937508
model_s1,51000089,0.0
model_s1,51000090,-7.751308846616568
model_s1,51000091,0.0
model_s1,51000092,0.0
model_s1,51000093,0.0
model_s1,51000094,-0.6634204312890617
model_s1,51000095,1.3617577273828125
model_s1,51000096,0.6983372960937508
model_s1,51000097,0.0
model_s1,51000098,10.28534376849206
model_s1,51000099,0.0
model_s1,51000100,0.0
model_s1,51000101,1.4643082925547874
model_s1,51000102,0.0
model_s1,51000103,0.0
model_s1,51000104,0.0
