source,stratum,epsilon,event,zero_denominators,physical_count,physical_median,physical_p90,physical_p95,physical_p99,physical_p99_9,physical_max,physical_above_1,physical_above_1.05,physical_above_1.25,physical_above_2,physical_above_5,visible_count,visible_median,visible_p90,visible_p95,visible_p99,visible_p99_9,visible_max,visible_above_1,visible_above_1.05,visible_above_1.25,visible_above_2,visible_above_5
natural,free,0.1,all,0,96,0.9999999999999901,1.0000000000000404,1.0000000000000544,1.0000000000000833,1.000000000000149,1.0000000000001563,0.0,0.0,0.0,0.0,0.0,96,1.0000002527967626,1.0000038146972656,1.0000038146972658,1.0000057712694865,1.0000058584569647,1.0000058681444624,0.0,0.0,0.0,0.0,0.0
natural,free,0.1,preserving,0,96,0.9999999999999901,1.0000000000000404,1.0000000000000544,1.0000000000000833,1.000000000000149,1.0000000000001563,0.0,0.0,0.0,0.0,0.0,96,1.0000002527967626,1.0000038146972656,1.0000038146972658,1.0000057712694865,1.0000058584569647,1.0000058681444624,0.0,0.0,0.0,0.0,0.0
natural,free,0.1,collision_changed,0,3,0.5453092726477409,0.5467646026486271,0.5469465188987379,0.5470920518988265,0.5471247968238465,0.5471284351488487,0.0,0.0,0.0,0.0,0.0,3,0.5453085899353032,0.5467638969421383,0.5469458103179927,0.5470913410186762,0.5471240854263301,0.5471277236938471,0.0,0.0,0.0,0.0,0.0
natural,free,0.1,collision_unchanged,0,93,0.9999999999999948,1.0000000000000409,1.0000000000000555,1.0000000000000857,1.0000000000001492,1.0000000000001563,0.0,0.0,0.0,0.0,0.0,93,1.000000346826763,1.0000038146972658,1.0000038146972658,1.0000057743286963,1.0000058587628857,1.0000058681444624,0.0,0.0,0.0,0.0,0.0
natural,free,0.03,all,0,96,1.000000000000037,1.0000000000001321,1.0000000000001799,1.0000000000002747,1.0000000000003575,1.0000000000003668,0.0,0.0,0.0,0.0,0.0,96,0.9999990463256836,1.0000228881835929,1.0000228881835933,1.0000229800293194,1.000024550591225,1.0000247250981034,0.0,0.0,0.0,0.0,0.0
natural,free,0.03,preserving,0,96,1.000000000000037,1.0000000000001321,1.0000000000001799,1.0000000000002747,1.0000000000003575,1.0000000000003668,0.0,0.0,0.0,0.0,0.0,96,0.9999990463256836,1.0000228881835929,1.0000228881835933,1.0000229800293194,1.000024550591225,1.0000247250981034,0.0,0.0,0.0,0.0,0.0
natural,free,0.03,collision_unchanged,0,96,1.000000000000037,1.0000000000001321,1.0000000000001799,1.0000000000002747,1.0000000000003575,1.0000000000003668,0.0,0.0,0.0,0.0,0.0,96,0.9999990463256836,1.0000228881835929,1.0000228881835933,1.0000229800293194,1.000024550591225,1.0000247250981034,0.0,0.0,0.0,0.0,0.0
natural,free,0.01,all,0,96,0.999999999999889,1.0000000000007288,1.0000000000012212,1.0000000000012248,1.000000000001273,1.0000000000012783,0.0,0.0,0.0,0.0,0.0,96,1.0000010136763413,1.0000228881835938,1.000031033334821,1.0000723191839036,1.0000725094435197,1.000072530583477,0.0,0.0,0.0,0.0,0.0
natural,free,0.01,preserving,0,96,0.999999999999889,1.0000000000007288,1.0000000000012212,1.0000000000012248,1.000000000001273,1.0000000000012783,0.0,0.0,0.0,0.0,0.0,96,1.0000010136763413,1.0000228881835938,1.000031033334821,1.0000723191839036,1.0000725094435197,1.000072530583477,0.0,0.0,0.0,0.0,0.0
natural,free,0.01,collision_unchanged,0,96,0.999999999999889,1.0000000000007288,1.0000000000012212,1.0000000000012248,1.000000000001273,1.0000000000012783,0.0,0.0,0.0,0.0,0.0,96,1.0000010136763413,1.0000228881835938,1.000031033334821,1.0000723191839036,1.0000725094435197,1.000072530583477,0.0,0.0,0.0,0.0,0.0
natural,free,0.003,all,0,96,0.9999999999995627,1.0000000000024487,1.0000000000035898,1.000000000004822,1.0000000000049003,1.000000000004909,0.0,0.0,0.0,0.0,0.0,96,1.0000069936116533,1.0000864664713534,1.000139346177907,1.0001918257686484,1.0002026049889114,1.0002038026800517,0.0,0.0,0.0,0.0,0.0
natural,free,0.003,preserving,0,96,0.9999999999995627,1.0000000000024487,1.0000000000035898,1.000000000004822,1.0000000000049003,1.000000000004909,0.0,0.0,0.0,0.0,0.0,96,1.0000069936116533,1.0000864664713534,1.000139346177907,1.0001918257686484,1.0002026049889114,1.0002038026800517,0.0,0.0,0.0,0.0,0.0
natural,free,0.003,collision_unchanged,0,96,0.9999999999995627,1.0000000000024487,1.0000000000035898,1.000000000004822,1.0000000000049003,1.000000000004909,0.0,0.0,0.0,0.0,0.0,96,1.0000069936116533,1.0000864664713534,1.000139346177907,1.0001918257686484,1.0002026049889114,1.0002038026800517,0.0,0.0,0.0,0.0,0.0
natural,free,0.001,all,0,96,0.9999999999986362,1.0000000000056843,1.0000000000091387,1.0000000000154736,1.0000000000161826,1.0000000000162614,0.0,0.0,0.0,0.0,0.0,96,0.9999275207519522,1.0004043579101554,1.0004043579101554,1.000520033280175,1.0005763067505613,1.000582559358382,0.0,0.0,0.0,0.0,0.0
natural,free,0.001,preserving,0,96,0.9999999999986362,1.0000000000056843,1.0000000000091387,1.0000000000154736,1.0000000000161826,1.0000000000162614,0.0,0.0,0.0,0.0,0.0,96,0.9999275207519522,1.0004043579101554,1.0004043579101554,1.000520033280175,1.0005763067505613,1.000582559358382,0.0,0.0,0.0,0.0,0.0
