parameters,emitter,condition,epsilon,zero_denominators,projection_frequency,atom_frequency,count,median,p90,p95,p99,p99_9,max,above_1,above_1.05,above_1.25,above_2,above_5,atom_switch_fraction
frobenius_s0,spectral,diagonal_center_fixed_xprime,0.1,0,0.072265625,0.09375,256,0.2902477297074997,0.42673674729625527,0.4594524499653676,0.4734575853685852,0.49196349768769315,0.49204960488701344,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,diagonal_center_fixed_xprime,0.03,0,0.013671875,0.08203125,256,0.3161874278880187,0.43355815764633804,0.4614363544646659,0.4746791088079975,0.4919711156424847,0.49206086012648387,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,diagonal_center_fixed_xprime,0.01,0,0.01953125,0.078125,256,0.30022312368536097,0.43152316918759726,0.4622702570358816,0.4747074665134175,0.49193571488164833,0.4920254587519359,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,diagonal_center_fixed_xprime,0.003,0,0.013671875,0.09765625,256,0.30262598918743777,0.43504452265525395,0.4641463369767259,0.47476417285788275,0.49190843014328256,0.491967736909128,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,diagonal_center_fixed_xprime,0.001,0,0.025390625,0.0859375,256,0.29638322907386266,0.42726325156753586,0.46122586830310097,0.47450525233185914,0.49190369345523743,0.49194818878114654,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,off_diagonal_fixed_xprime,0.1,0,0.078125,0.09375,256,0.29822685985194275,0.43151611826946823,0.453673338352825,0.47248805097552066,0.4874703568870727,0.4917163682003253,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,off_diagonal_fixed_xprime,0.03,0,0.06640625,0.08203125,256,0.3019346596580785,0.43151305290679054,0.4536692987270434,0.4724946829318821,0.487474797537458,0.4917237162670593,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,off_diagonal_fixed_xprime,0.01,0,0.06640625,0.078125,256,0.3019484034287082,0.43152022504334275,0.4536896939435069,0.4724833789144981,0.48747250448889057,0.49171790820472294,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,off_diagonal_fixed_xprime,0.003,0,0.05859375,0.09765625,256,0.30650964873008224,0.4355546461331855,0.4547077263706367,0.4735420679646334,0.4874981222507501,0.4917641943648132,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,spectral,off_diagonal_fixed_xprime,0.001,0,0.06640625,0.0859375,256,0.30326408709265557,0.43144027255683565,0.4536767935156554,0.4723941385464036,0.48753296616998454,0.4917736973069932,0.0,0.0,0.0,0.0,0.0,
frobenius_s0,diagonal,both_action_slots_vary,0.1,0,,,256,0.9958712504987131,1.0154374800664212,1.0195748796888933,1.0638241834850468,10.169762998165702,11.427263111773051,0.26953125,0.01171875,0.0078125,0.0078125,0.0078125,0.0
frobenius_s0,diagonal,both_action_slots_vary,0.03,0,,,256,0.9945176592789273,1.0146092266745916,1.0182780281853294,1.0483353859157374,1.079435660753376,1.0851557281422173,0.26171875,0.0078125,0.0,0.0,0.0,0.0
frobenius_s0,diagonal,both_action_slots_vary,0.01,0,,,256,0.9957258851795764,1.0148936010633007,1.0201469402360008,1.049851113434762,1.080088252734392,1.0815811105563131,0.26171875,0.0078125,0.0,0.0,0.0,0.0
frobenius_s0,diagonal,both_action_slots_vary,0.003,0,,,256,0.9949368296290975,1.0145189646522021,1.018805983727636,1.0470488290405473,1.0713771348724659,1.0775229076612285,0.265625,0.0078125,0.0,0.0,0.0,0.0
frobenius_s0,diagonal,both_action_slots_vary,0.001,0,,,256,0.9954601274837701,1.014593536935593,1.018456525592562,1.0495626335255273,1.0746134853848264,1.0771439214617773,0.27734375,0.0078125,0.0,0.0,0.0,0.0
spectral_s0,frobenius,diagonal_center_fixed_xprime,0.1,0,0.080078125,0.09375,256,0.30295227916882206,0.48006341933910934,0.5166360485518998,0.5344753578484154,0.5410426015604186,0.5423535544528212,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,diagonal_center_fixed_xprime,0.03,0,0.013671875,0.08203125,256,0.3348910817883826,0.4887739855825758,0.519831055645003,0.541263876820936,0.5450539965931576,0.54508754097531,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,diagonal_center_fixed_xprime,0.01,0,0.021484375,0.078125,256,0.3179819885326174,0.48880262585042766,0.5220144403809628,0.5396868558211286,0.5450355595516667,0.5450708998270921,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,diagonal_center_fixed_xprime,0.003,0,0.013671875,0.09765625,256,0.3180164029986586,0.48882949469108905,0.5234597609569073,0.5413154708639996,0.5451162999081427,0.5451372423024189,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,diagonal_center_fixed_xprime,0.001,0,0.02734375,0.0859375,256,0.3161515875091736,0.48857244176721903,0.519938315198156,0.5387911370256864,0.5445928793057404,0.5453995722467653,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,off_diagonal_fixed_xprime,0.1,0,0.072265625,0.09375,256,0.3115668012686227,0.4887739742412446,0.5145517470724869,0.5369198410267222,0.5442192029816992,0.5448570773163266,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,off_diagonal_fixed_xprime,0.03,0,0.064453125,0.08203125,256,0.31497748118343954,0.48877376839379655,0.5145523533152145,0.5369198252796115,0.5442169799937959,0.5448562865222719,0.0,0.0,0.0,0.0,0.0,
spectral_s0,frobenius,off_diagonal_fixed_xprime,0.01,0,0.05859375,0.078125,256,0.3149805461389641,0.48876928734594205,0.5145465555354665,0.5369159118202484,0.5442286130056814,0.5448793157122375,0.0,0.0,0.0,0.0,0.0,
