root,x,y,action,ax,ay,q_s0,q_s2,native_reach,native_strict_success,native_discounted_return,native_lower,native_shortcut,native_absorbed,ett_reach,ett_strict_success,ett_discounted_return,ett_lower,ett_shortcut,ett_absorbed,replay_transitions,replay_first_queries
7,1.500,3.810,right,1.000,0.000,-6.512,-6.496,0.234,0.219,2.400,0.062,0.938,0.781,0.250,0.250,3.175,0.016,0.891,0.750,1691,723
7,1.500,3.810,actor_s0,0.999,-0.940,-6.388,-6.627,0.266,0.250,2.686,0.109,0.891,0.750,0.203,0.203,2.218,0.172,0.625,0.781,65,0
7,1.500,3.810,actor_s2,1.000,-0.692,-6.167,-6.366,0.266,0.250,2.697,0.094,0.906,0.750,0.281,0.281,3.522,0.078,0.797,0.703,153,0
7,1.500,3.810,argmax_s0,0.833,-0.467,-6.039,-6.007,0.250,0.234,2.578,0.062,0.938,0.766,0.344,0.344,4.169,0.031,0.922,0.656,435,0
7,1.500,3.810,argmax_s2,0.500,-0.367,-6.113,-5.764,0.266,0.266,2.841,0.125,0.875,0.734,0.312,0.297,3.758,0.094,0.750,0.703,112,0
8,1.481,3.507,down,0.000,-1.000,-6.282,-6.020,0.969,0.953,9.977,1.000,0.000,0.031,0.844,0.828,7.428,1.000,0.000,0.094,1515,1425
8,1.481,3.507,right,1.000,0.000,-6.103,-6.161,0.312,0.297,3.584,0.047,0.953,0.703,0.250,0.250,3.255,0.047,0.906,0.750,3411,1425
8,1.481,3.507,actor_s0,0.998,-0.983,-6.310,-6.618,0.312,0.297,3.385,0.109,0.891,0.703,0.250,0.250,2.656,0.109,0.656,0.750,30,0
8,1.481,3.507,actor_s2,1.000,-0.715,-6.021,-6.322,0.312,0.297,3.385,0.109,0.891,0.703,0.250,0.250,2.731,0.109,0.703,0.750,106,0
8,1.481,3.507,argmax_s0,0.333,-0.367,-5.913,-5.688,0.672,0.672,6.541,0.703,0.297,0.312,0.312,0.312,2.376,0.344,0.406,0.656,72,0
8,1.481,3.507,argmax_s2,0.500,-0.300,-5.931,-5.575,0.344,0.328,3.561,0.203,0.797,0.656,0.219,0.219,2.422,0.125,0.688,0.766,123,0
9,1.482,3.439,down,0.000,-1.000,-6.302,-5.983,0.922,0.906,9.765,1.000,0.000,0.062,0.859,0.859,7.809,1.000,0.000,0.109,1466,1380
9,1.482,3.439,right,1.000,0.000,-6.098,-6.149,0.297,0.297,3.508,0.047,0.953,0.703,0.234,0.234,3.052,0.062,0.844,0.766,3340,1380
9,1.482,3.439,actor_s0,0.997,-0.988,-6.328,-6.634,0.938,0.922,9.820,1.000,0.000,0.062,0.172,0.172,1.570,0.125,0.719,0.828,27,0
9,1.482,3.439,actor_s2,1.000,-0.718,-6.056,-6.338,0.344,0.344,4.219,0.109,0.891,0.656,0.188,0.172,1.673,0.125,0.719,0.812,111,0
9,1.482,3.439,argmax_s0,0.333,-0.267,-5.916,-5.771,0.422,0.422,4.197,0.391,0.609,0.578,0.312,0.312,2.846,0.266,0.547,0.672,66,0
9,1.482,3.439,argmax_s2,0.500,-0.267,-5.931,-5.589,0.375,0.359,3.969,0.234,0.766,0.625,0.203,0.203,2.186,0.172,0.641,0.766,124,0
10,1.480,3.638,down,0.000,-1.000,-6.292,-6.079,0.953,0.938,9.995,1.000,0.000,0.047,0.859,0.828,7.600,1.000,0.000,0.141,1397,1308
10,1.480,3.638,right,1.000,0.000,-6.227,-6.233,0.234,0.234,2.688,0.047,0.953,0.766,0.391,0.391,4.849,0.031,0.859,0.609,3121,1308
10,1.480,3.638,actor_s0,0.998,-0.970,-6.325,-6.581,0.250,0.250,2.729,0.094,0.906,0.750,0.234,0.234,2.363,0.109,0.656,0.750,47,0
10,1.480,3.638,actor_s2,1.000,-0.709,-6.062,-6.315,0.281,0.281,3.138,0.109,0.891,0.719,0.172,0.172,1.694,0.109,0.719,0.828,146,0
10,1.480,3.638,argmax_s0,0.433,-0.500,-5.924,-5.649,0.484,0.484,4.774,0.422,0.578,0.516,0.375,0.344,3.077,0.312,0.484,0.609,77,0
10,1.480,3.638,argmax_s2,0.500,-0.333,-5.973,-5.597,0.312,0.297,3.256,0.125,0.875,0.688,0.281,0.266,3.255,0.094,0.750,0.734,108,0
11,1.500,3.838,down,0.000,-1.000,-6.472,-6.237,0.938,0.938,9.754,1.000,0.000,0.062,0.797,0.781,6.824,1.000,0.000,0.203,666,600
11,1.500,3.838,right,1.000,0.000,-6.561,-6.540,0.203,0.203,2.387,0.062,0.938,0.797,0.266,0.266,3.296,0.047,0.859,0.734,1402,600
11,1.500,3.838,actor_s0,0.999,-0.933,-6.410,-6.638,0.219,0.219,2.480,0.141,0.859,0.781,0.203,0.203,2.170,0.109,0.562,0.797,60,0
11,1.500,3.838,actor_s2,1.000,-0.688,-6.196,-6.379,0.219,0.219,2.627,0.094,0.906,0.781,0.281,0.266,3.276,0.047,0.844,0.734,148,0
11,1.500,3.838,argmax_s0,0.833,-0.467,-6.079,-6.038,0.234,0.234,2.685,0.062,0.938,0.766,0.406,0.375,4.699,0.031,0.922,0.625,406,0
11,1.500,3.838,argmax_s2,0.500,-0.400,-6.135,-5.792,0.312,0.312,3.451,0.125,0.875,0.688,0.266,0.266,3.206,0.109,0.766,0.734,105,0
12,1.500,3.707,down,0.000,-1.000,-6.318,-6.103,0.953,0.953,9.927,1.000,0.000,0.047,0.844,0.828,7.731,1.000,0.000,0.125,1316,1233
12,1.500,3.707,right,1.000,0.000,-6.327,-6.333,0.297,0.297,3.475,0.047,0.953,0.703,0.281,0.266,3.439,0.016,0.906,0.734,2762,1233
12,1.500,3.707,actor_s0,0.999,-0.961,-6.344,-6.592,0.297,0.297,3.537,0.109,0.891,0.703,0.266,0.250,2.554,0.141,0.641,0.750,56,0
12,1.500,3.707,actor_s2,1.000,-0.704,-6.086,-6.336,0.297,0.297,3.548,0.109,0.891,0.703,0.312,0.312,3.967,0.094,0.781,0.688,155,0
12,1.500,3.707,argmax_s0,0.633,-0.500,-5.927,-5.780,0.281,0.281,2.994,0.141,0.859,0.719,0.250,0.250,2.661,0.172,0.750,0.750,143,0
12,1.500,3.707,argmax_s2,0.500,-0.367,-5.995,-5.654,0.281,0.281,3.025,0.109,0.891,0.703,0.266,0.266,3.123,0.125,0.797,0.703,114,0
13,1.500,3.847,down,0.000,-1.000,-6.485,-6.246,0.938,0.938,9.768,1.000,0.000,0.062,0.797,0.781,7.221,1.000,0.000,0.141,626,564
13,1.500,3.847,right,1.000,0.000,-6.577,-6.555,0.328,0.328,3.749,0.062,0.938,0.672,0.297,0.281,3.327,0.047,0.891,0.719,1316,564
