episode_id,u_side,success,ep_length,dead,collapse_step,fell,fall_step,resim_reliable,first_contact_step,first_zone_entry,zone_exit,handoff_step,max_hforce,pre_contact_speed,n_nudges,n_nudges_recovered,max_x,max_x_pre_handoff,final_goal_dist,fail_step,failure_after_handoff,fall_x,fail_x,fail_y,category
10,1,1,701,False,-1,False,-1,True,27,48,115,132,87.42461395263672,0.752764880657196,0,0,9.009138107299805,6.006807804107666,0.9315963983535767,699,True,nan,2.074002504348755,8.456622123718262,success
24,1,1,701,False,-1,True,454,True,21,56,119,143,82.75708770751953,0.6593419313430786,0,0,8.671525001525879,6.045071125030518,2.1270737648010254,699,True,1.2257634401321411,2.381636619567871,8.955686569213867,success
27,1,0,100,True,98,False,-1,True,16,39,-1,-1,82.40239715576172,1.1843161582946777,0,0,4.984868049621582,4.984868049621582,9.938576698303223,98,False,nan,4.984868049621582,-0.28194132447242737,1_collapse_litter
34,0,1,701,False,-1,False,-1,True,26,46,140,145,77.7660140991211,0.82068932056427,0,0,8.37343692779541,6.0077338218688965,0.696732223033905,699,True,nan,0.7320793271064758,8.672769546508789,success
50,1,0,701,False,-1,False,-1,True,24,39,195,422,71.25875854492188,0.7937487959861755,6,3,6.2166242599487305,6.003097057342529,10.77991771697998,699,True,nan,6.13171911239624,-0.523577868938446,4_cleared_timeout
70,1,1,701,False,-1,True,257,True,22,43,122,128,60.31755828857422,0.8293598890304565,0,0,8.505152702331543,6.060887813568115,0.5242637395858765,699,True,0.37701693177223206,0.5472105741500854,8.776932716369629,success
82,1,1,701,False,-1,False,-1,True,23,55,159,167,75.13754272460938,0.818740963935852,1,1,8.02750015258789,6.025384426116943,0.7615601420402527,699,True,nan,1.7982840538024902,8.557014465332031,success
84,1,0,701,False,-1,True,335,True,22,74,178,186,83.53067779541016,0.8339563608169556,2,2,8.261577606201172,6.034195423126221,2.1155428886413574,335,True,-0.0915348082780838,-0.0915348082780838,8.565178871154785,5_fail_after_handoff
86,0,1,701,False,-1,False,-1,True,19,54,104,116,68.15662384033203,1.1370370388031006,0,0,8.571574211120605,6.036890029907227,0.3598370850086212,699,True,nan,0.32884249091148376,8.976326942443848,success
102,1,1,701,False,-1,True,644,True,23,55,129,147,85.52088928222656,0.8751599788665771,0,0,8.397709846496582,6.0155744552612305,1.7385119199752808,699,True,1.6045844554901123,2.3861753940582275,8.88422966003418,success
108,1,0,113,True,111,False,-1,True,23,50,-1,-1,85.52767944335938,0.7756725549697876,0,0,4.783385753631592,4.783385753631592,10.525567054748535,111,False,nan,4.783385753631592,-0.28067490458488464,1_collapse_litter
113,1,1,701,False,-1,False,-1,True,22,65,145,152,65.99501037597656,0.7567932605743408,1,1,8.522845268249512,6.081675052642822,1.244087815284729,699,True,nan,2.031454563140869,8.87868595123291,success
126,0,0,701,False,-1,True,666,True,19,74,-1,-1,94.37178039550781,1.1147505044937134,15,2,3.6573123931884766,3.6573123931884766,8.58456039428711,666,False,1.3872597217559814,1.3872597217559814,0.5758388042449951,3_wedged_before_exit
