episode,policy,reach,strict_success,discounted_return,undiscounted_return,absorbed,lower_route,entered_1_2,reached_y_below_2,shortcut,stuck_other,first_departure_1_2,first_departure_2_3,hazard_landings,route_class,departure_time,first_departure_cell,time_to_goal,death_time
38,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,shortcut,2,"(2,3)",,7
39,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
40,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,lower,1,"(1,2)",9,
41,P_bc0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,lower,1,"(1,2)",,7
42,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,5,"(2,3)",,8
43,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",7,
44,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,3,"(2,3)",,4
45,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
46,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,3,"(2,3)",,4
47,P_bc0.2,1.0,1.0,12.42784641634072,43.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",8,
48,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,2,"(2,3)",,3
49,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,3,"(1,2)",,
50,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
51,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",7,
52,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
53,P_bc0.2,1.0,1.0,12.42784641634072,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",8,
54,P_bc0.2,1.0,1.0,10.4358392792333,40.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",11,
55,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,2,"(2,3)",,9
56,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
57,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,shortcut,2,"(2,3)",,3
58,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",,5
59,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",9,
60,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,4,"(1,2)",,
61,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,2,"(2,3)",,5
62,P_bc0.2,1.0,1.0,8.727942160055825,37.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",14,
63,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,shortcut,4,"(2,3)",,6
64,P_bc0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,shortcut,2,"(2,3)",,8
65,P_bc0.2,1.0,1.0,11.066088688957908,41.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",10,
66,P_bc0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lower,2,"(2,3)",,
67,P_bc0.2,1.0,1.0,9.895479191570665,39.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,1,"(1,2)",11,
68,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,lower,1,"(1,2)",7,
69,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",7,
70,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
71,P_bc0.2,1.0,1.0,11.72950912024697,42.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",9,
72,P_bc0.2,1.0,1.0,0.7807449204658475,8.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,lower,2,"(1,2)",43,
73,P_bc0.2,1.0,1.0,13.16293830696572,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,shortcut,2,"(2,3)",7,
