step,stage_file,success,min_dist,final_dist,critic_loss,actor_loss,categorical_accuracy,logits_pos,logits_neg,logits_gap,learner_updates,per_actor_steps,num_actors
11200,1783953197,0.0,6.326883792877197,6.398560047149658,0.017184622585773468,10.923479080200195,0.0986328125,-3.429389476776123,-20.29784393310547,16.868453979492188,2800.0,2800.0,4.0
22400,1783953197,0.0,5.037219524383545,5.380455493927002,0.013194470666348934,11.167887687683105,0.20703125,-2.276698350906372,-24.882198333740234,22.605499267578125,14000.0,5600.0,4.0
33600,1783953197,0.0,5.588947772979736,6.150768756866455,0.011021584272384644,9.921720504760742,0.255859375,-1.698759913444519,-24.083629608154297,22.384870529174805,25200.0,8400.0,4.0
44800,1783953197,0.0,5.779727935791016,5.93669319152832,0.009870670735836029,9.163259506225586,0.314453125,-1.4483745098114014,-23.316802978515625,21.868427276611328,36400.0,11200.0,4.0
61600,1783953521,0.10000000149011612,5.675654888153076,6.052427291870117,0.008539000526070595,8.089599609375,0.408203125,-0.9376932382583618,-22.141489028930664,21.20379638671875,11200.0,15400.0,4.0
72800,1783953521,0.0,5.06859827041626,5.463417053222656,0.008224662393331528,8.227252960205078,0.4365234375,-0.8325217962265015,-22.109058380126953,21.276538848876953,22400.0,18200.0,4.0
84000,1783953521,0.20000000298023224,4.339960098266602,5.101907253265381,0.007446549832820892,7.840470314025879,0.505859375,-0.6553587317466736,-21.930225372314453,21.274866104125977,33600.0,21000.0,4.0
95200,1783953521,0.10000000149011612,5.40528678894043,6.529339790344238,0.0072228265926241875,7.9534101486206055,0.5380859375,-0.7056572437286377,-22.509279251098633,21.80362319946289,44800.0,23800.0,4.0
112000,1783953897,0.0,6.034016132354736,6.20454216003418,0.006751040928065777,8.025308609008789,0.5537109375,-0.35008108615875244,-23.075359344482422,22.725276947021484,11200.0,28000.0,4.0
123200,1783953897,0.0,5.055432319641113,5.346274375915527,0.00643856730312109,7.150162220001221,0.59375,-0.21799969673156738,-22.46011734008789,22.242116928100586,22400.0,30800.0,4.0
134400,1783953897,0.20000000298023224,4.997224807739258,5.7435126304626465,0.006270973011851311,7.598954200744629,0.6162109375,-0.30745285749435425,-22.939876556396484,22.632423400878906,33600.0,33600.0,4.0
145600,1783953897,0.0,6.014623641967773,6.698046684265137,0.006037694402039051,7.5927276611328125,0.623046875,-0.13748760521411896,-23.48462677001953,23.347137451171875,44800.0,36400.0,4.0
162400,1783954273,0.0,5.032413482666016,5.476152420043945,0.005662423558533192,7.296555995941162,0.6640625,-0.05057743191719055,-23.154613494873047,23.104034423828125,11200.0,40600.0,4.0
173600,1783954273,0.0,4.437114715576172,4.9488959312438965,0.005889014340937138,7.456749439239502,0.6630859375,0.03939519822597504,-23.16215705871582,23.20155143737793,22400.0,43400.0,4.0
184800,1783954273,0.20000000298023224,3.894042491912842,4.860801696777344,0.005344131961464882,6.7996673583984375,0.7119140625,0.196384459733963,-22.361690521240234,22.558074951171875,33600.0,46200.0,4.0
196000,1783954273,0.0,6.032833099365234,6.659823894500732,0.005687907803803682,7.1548871994018555,0.681640625,0.1542583703994751,-23.241796493530273,23.396053314208984,44800.0,49000.0,4.0
212800,1783954647,0.20000000298023224,3.96549129486084,4.654526233673096,0.00529545359313488,6.942944049835205,0.7177734375,0.2042926400899887,-23.111572265625,23.31586456298828,11200.0,53200.0,4.0
224000,1783954647,0.10000000149011612,4.547130107879639,5.37384033203125,0.005159145686775446,7.045899391174316,0.7265625,0.23152287304401398,-23.194137573242188,23.4256591796875,22400.0,56000.0,4.0
235200,1783954647,0.4000000059604645,2.739110231399536,3.869513511657715,0.005120001267641783,6.9883575439453125,0.744140625,0.27507030963897705,-23.21687126159668,23.491939544677734,33600.0,58800.0,4.0
246400,1783954647,0.10000000149011612,5.448934078216553,6.194298267364502,0.005015363916754723,6.982424736022949,0.734375,0.46830272674560547,-23.53560447692871,24.00390625,44800.0,61600.0,4.0
